event,year,track,title,authors,sol_link,pdf_url,file
SBSeg,2025,principal,Apresentação e Organização,"Diego Kreutz, Michelle Silva Wangham",https://sol.sbc.org.br/index.php/sbseg/article/view/41943,https://sol.sbc.org.br/index.php/sbseg/article/download/41943/41714,SBSeg/2025/principal/41943_Apresentacao-e-Organizacao.pdf
SBSeg,2025,principal,Anonimização de Incidentes de Segurança com Reidentificação Controlada,"Carolina Tompsen Bandel, João Pedro Ramires Esteves, Kalian Pereira Guerra, Leandro M. Bertholdo, Diego Kreutz, Rodrigo S. Miani",https://sol.sbc.org.br/index.php/sbseg/article/view/36614,https://sol.sbc.org.br/index.php/sbseg/article/download/36614/36401,SBSeg/2025/principal/36614_Anonimizacao-de-Incidentes-de-Seguranca-com-Reidentificacao-Controlada.pdf
SBSeg,2025,principal,Categorização de Incidentes de Segurança utilizando Engenharia de Prompts em LLMs,"Alex Sandre Pinheiro Severo, Douglas Paim Lautert, Diego Kreutz, Leandro Márcio Bertholdo, Marcio Pohlmann, Silvio Ereno Quincozes",https://sol.sbc.org.br/index.php/sbseg/article/view/36624,https://sol.sbc.org.br/index.php/sbseg/article/download/36624/36411,SBSeg/2025/principal/36624_Categorizacao-de-Incidentes-de-Seguranca-utilizando-Engenharia-de-Prompts-em-LLMs.pdf
SBSeg,2025,principal,Exploiting Latent Space Discontinuities for Building Universal LLM Jailbreaks and Data Extraction Attacks,"Kayuã Oleques Paim, Rodrigo Brandão Mansilha, Diego Kreutz, Muriel Figueredo Franco, Weverton Cordeiro",https://sol.sbc.org.br/index.php/sbseg/article/view/36635,https://sol.sbc.org.br/index.php/sbseg/article/download/36635/36422,SBSeg/2025/principal/36635_Exploiting-Latent-Space-Discontinuities-for-Building-Universal-LLM-Jailbreaks-and-Data-Ext.pdf
SBSeg,2025,principal,Minimal but Lethal: A XAI-Driven Approach for Feature-Level Adversarial Attacks on Healthcare 5.0,"Lucas P. Siqueira, Pedro H. Lui, Juliano F. Kazienko, Silvio E. Quincozes, Vagner E. Quincozes, Daniel Welfer",https://sol.sbc.org.br/index.php/sbseg/article/view/36647,https://sol.sbc.org.br/index.php/sbseg/article/download/36647/36434,SBSeg/2025/principal/36647_Minimal-but-Lethal-A-XAI-Driven-Approach-for-Feature-Level-Adversarial-Attacks-on-Healthca.pdf
SBSeg,2025,principal,Recovering Medical Images from Adversarial Attacks: Genetic Algorithm-based Adaptive Compression (GA-AC),"Paulo Vitor C. Lima, Silvio E. Quincozes, Marcelo Z. do Nascimento, Juliano F. Kazienko, Daniel Welfer, Shigueo Nomura",https://sol.sbc.org.br/index.php/sbseg/article/view/36654,https://sol.sbc.org.br/index.php/sbseg/article/download/36654/36441,SBSeg/2025/principal/36654_Recovering-Medical-Images-from-Adversarial-Attacks-Genetic-Algorithm-based-Adaptive-Compre.pdf
SBSeg,2025,principal,Uma Avaliação Estendida do Impacto da Seleção e Enriquecimento de Features em Sistemas de Detecção de Intrusão para Smart Grids,"Vagner E. Quincozes, Silvio E. Quincozes, Célio Albuquerque, Diego Passos, Daniel Mossé",https://sol.sbc.org.br/index.php/sbseg/article/view/36665,https://sol.sbc.org.br/index.php/sbseg/article/download/36665/36452,SBSeg/2025/principal/36665_Uma-Avaliacao-Estendida-do-Impacto-da-Selecao-e-Enriquecimento-de-Features-em-Sistemas-de.pdf
SBSeg,2025,principal,Além da Similaridade: Uma super-métrica Generalizável para Avaliação de Fidelidade em Dados Sintéticos de Malware,"Anna Luiza Gomes da Silva, Angelo Gaspar Diniz Nogueira, Diego Kreutz, Kayuã Oleques Paim, Rodrigo Brandão Mansilha, Celso Nobre da Fonseca",https://sol.sbc.org.br/index.php/sbseg/article/view/36668,https://sol.sbc.org.br/index.php/sbseg/article/download/36668/36455,SBSeg/2025/principal/36668_Alem-da-Similaridade-Uma-super-metrica-Generalizavel-para-Avaliacao-de-Fidelidade-em-Dados.pdf
SBSeg,2025,principal,Análise Exploratória de Criação de Regras do WAF ModSecurity Utilizando Cinco LLMs Distintos,"Tiago W. Morais, Silvio E. Quincozes, Diego Kreutz, Juliano F. Kazienko, Vagner E. Quincozes",https://sol.sbc.org.br/index.php/sbseg/article/view/36669,https://sol.sbc.org.br/index.php/sbseg/article/download/36669/36456,SBSeg/2025/principal/36669_Analise-Exploratoria-de-Criacao-de-Regras-do-WAF-ModSecurity-Utilizando-Cinco-LLMs-Distint.pdf
SBSeg,2025,principal,Gerenciamento Integrado e Adaptativo de Firewalls baseado na Fonte Única de Verdade (SSoT) da Rede,"Jerônimo Menezes, Leonardo Bitzki, Diego Kreutz, Rodrigo Brandão Mansilha",https://sol.sbc.org.br/index.php/sbseg/article/view/36682,https://sol.sbc.org.br/index.php/sbseg/article/download/36682/36469,SBSeg/2025/principal/36682_Gerenciamento-Integrado-e-Adaptativo-de-Firewalls-baseado-na-Fonte-Unica-de-Verdade-SSoT-d.pdf
